Rank	Taxonpath	Taxon	ERR1906857	ERR1906860	ERR1906867
phylum	Main genome;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade	SAR202 clade	None	1.0	None
phylum	Main genome;Bacteria;Chloroflexi;Dehalococcoidia;MSBL5	MSBL5	None	None	None
phylum	Main genome;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales	Anaerolineales	2.0	1.0	None
phylum	Main genome;Bacteria;Chloroflexi;Anaerolineae;Caldilineales	Caldilineales	2.0	None	None
phylum	Main genome;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales	Saccharimonadales	3.0	None	10.0
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales	Planctomycetales	1.0	None	None
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Pirellulales	Pirellulales	1.0	3.0	2.0
phylum	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales	Tepidisphaerales	None	None	8.0
phylum	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales	Phycisphaerales	None	None	1.0
phylum	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Pla1 lineage	Pla1 lineage	None	None	None
phylum	Main genome;Bacteria;Gemmatimonadetes;Gemmatimonadetes (kingdom);Gemmatimonadales	Gemmatimonadales	None	None	2.0
phylum	Main genome;Bacteria;Lentisphaerae;Oligosphaeria;Oligosphaerales	Oligosphaerales	1.0	None	None
phylum	Main genome;Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales	Fimbriimonadales	None	None	None
phylum	Main genome;Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales	Entotheonellales	None	1.0	1.0
phylum	Main genome;Archaea;Euryarchaeota;Thermoplasmata;Marine Benthic Group D and DHVEG-1	Marine Benthic Group D and DHVEG-1	2.5	None	None
phylum	Main genome;Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosopumilales	Nitrosopumilales	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	Moraxellaceae	None	None	1.0
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae	Burkholderiaceae	None	None	1.0
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Hydrogenophilaceae	Hydrogenophilaceae	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae	Saccharospirillaceae	None	None	1.0
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae	Halieaceae	4.0	None	2.0
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	Xanthomonadaceae	None	None	3.0
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae	Rhodanobacteraceae	None	None	1.0
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae	Thiotrichaceae	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae	Chromatiaceae	None	1.0	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae	Ectothiorhodospiraceae	1.0	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae	Nitrosococcaceae	None	2.0	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae	Woeseiaceae	None	None	None
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Tenderiales;Tenderiaceae	Tenderiaceae	None	None	1.0
class	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Thiohalorhabdales;Thiohalorhabdaceae	Thiohalorhabdaceae	None	1.0	None
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae	Methyloligellaceae	None	None	None
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae	Xanthobacteraceae	None	None	None
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis	Rhizobiales Incertae Sedis	1.0	None	2.0
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae	Devosiaceae	None	None	1.0
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae	Hyphomicrobiaceae	None	2.0	None
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Parvularculaceae	Parvularculaceae	None	None	None
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	Caulobacteraceae	None	None	None
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae	Hyphomonadaceae	None	None	3.0
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	Sphingomonadaceae	None	None	None
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	Rhodobacteraceae	5.0	1.0	9.0
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;Azospirillaceae	Azospirillaceae	None	None	1.0
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae	Magnetospiraceae	None	None	None
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacterales Incertae Sedis	Acetobacterales Incertae Sedis	None	None	None
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae	Reyranellaceae	None	None	2.0
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodovibrionales;Kiloniellaceae	Kiloniellaceae	None	4.0	None
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Tistrellales;Geminicoccaceae	Geminicoccaceae	None	None	1.0
class	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Dongiales;Dongiaceae	Dongiaceae	None	None	None
class	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;BIrii41	BIrii41	None	None	1.0
class	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae	Sandaracinaceae	None	1.0	None
class	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Sva1033	Sva1033	None	None	None
class	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae	Desulfobacteraceae	1.0	1.0	None
class	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae	Desulfobulbaceae	2.0	None	None
class	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Streptosporangiales;Streptosporangiaceae	Streptosporangiaceae	None	None	1.0
class	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Micromonosporales;Micromonosporaceae	Micromonosporaceae	None	None	1.0
class	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Micrococcales;Promicromonosporaceae	Promicromonosporaceae	None	None	None
class	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Frankiales;Geodermatophilaceae	Geodermatophilaceae	None	None	1.0
